ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
full,bi_cvrp,100,2025,14167.71242913809,100.0,100.0,20957.553435524558,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2025/20260616_181949_BICVRPEvaluation_BMAB-full,16,16,0,0.0,16.0,92,8,76,0.8260869565217391
full,bi_cvrp,100,2026,14428.463817880409,100.0,100.0,16875.396278222703,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2026/20260616_184048_BICVRPEvaluation_BMAB-full,8,8,0,0.0,8.0,92,8,84,0.9130434782608695
full,bi_cvrp,100,2027,15573.858194058372,100.0,100.0,17208.683087357313,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2027/20260616_190430_BICVRPEvaluation_BMAB-full,14,14,0,0.0,14.000000000000002,91,9,77,0.8461538461538461
full,bi_cvrp,100,2028,14288.497100341723,100.0,100.0,20680.98919509936,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2028/20260616_192631_BICVRPEvaluation_BMAB-full,12,12,0,0.0,12.0,92,8,80,0.8695652173913043
full,bi_cvrp,100,2029,15107.736198786446,100.0,100.0,18651.52617134129,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2029/20260616_232738_BICVRPEvaluation_BMAB-full,10,10,0,0.0,10.0,93,7,83,0.8924731182795699
full,bi_cvrp,200,2025,16281.627803444408,200.0,200.0,23355.061311467292,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2025/20260616_235410_BICVRPEvaluation_BMAB-full,19,19,0,0.0,9.5,184,16,165,0.8967391304347826
full,bi_cvrp,200,2026,15475.863730195835,200.0,200.0,21490.572812608785,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2026/20260617_004204_BICVRPEvaluation_BMAB-full,14,14,0,0.0,7.000000000000001,186,14,172,0.9247311827956989
full,bi_cvrp,200,2027,16401.447816879467,200.0,200.0,17731.378121000052,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2027/20260617_013109_BICVRPEvaluation_BMAB-full,13,13,0,0.0,6.5,184,16,171,0.9293478260869565
full,bi_cvrp,200,2028,14278.701887727382,200.0,200.0,15977.595011048308,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2028/20260617_020842_BICVRPEvaluation_BMAB-full,19,19,0,0.0,9.5,185,15,166,0.8972972972972973
full,bi_cvrp,200,2029,16098.179226259928,200.0,200.0,19301.556572451325,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2029/20260617_025808_BICVRPEvaluation_BMAB-full,26,26,0,0.0,13.0,184,16,158,0.8586956521739131
full,bi_cvrp,25,2025,19286.782762465995,25.0,25.0,22960.455669602372,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2025/20260616_161348_BICVRPEvaluation_BMAB-full,4,4,0,0.0,16.0,21,4,17,0.8095238095238095
full,bi_cvrp,25,2026,13826.509200725273,25.0,25.0,19203.7129532173,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2026/20260616_161900_BICVRPEvaluation_BMAB-full,5,5,0,0.0,20.0,23,2,18,0.782608695652174
full,bi_cvrp,25,2027,11458.66656405157,25.0,25.0,19097.777606752614,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2027/20260616_162553_BICVRPEvaluation_BMAB-full,4,4,0,0.0,16.0,24,1,20,0.8333333333333334
full,bi_cvrp,25,2028,13683.390241365241,25.0,25.0,18491.067893736814,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2028/20260616_163303_BICVRPEvaluation_BMAB-full,4,4,0,0.0,16.0,22,3,18,0.8181818181818182
full,bi_cvrp,25,2029,8741.613521885716,25.0,25.0,14569.355869809526,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2029/20260616_163828_BICVRPEvaluation_BMAB-full,4,4,0,0.0,16.0,24,1,20,0.8333333333333334
full,bi_cvrp,50,2025,12933.955947996285,50.0,50.0,15967.846849378127,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2025/20260616_164803_BICVRPEvaluation_BMAB-full,7,7,0,0.0,14.000000000000002,45,5,38,0.8444444444444444
full,bi_cvrp,50,2026,13544.34169364806,50.0,50.0,18818.646878663556,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2026/20260616_230026_BICVRPEvaluation_BMAB-full,7,7,0,0.0,14.000000000000002,47,3,40,0.851063829787234
full,bi_cvrp,50,2027,15113.525001958425,50.0,50.0,17174.46022949821,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2027/20260616_172832_BICVRPEvaluation_BMAB-full,8,8,0,0.0,16.0,44,6,36,0.8181818181818182
full,bi_cvrp,50,2028,13887.587050876824,50.0,50.0,19290.96282816287,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2028/20260616_174213_BICVRPEvaluation_BMAB-full,8,8,0,0.0,16.0,47,3,39,0.8297872340425532
full,bi_cvrp,50,2029,13989.577496981747,50.0,50.0,17096.25115787379,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2029/20260616_231226_BICVRPEvaluation_BMAB-full,8,8,0,0.0,16.0,45,5,37,0.8222222222222222
full,bi_kp,100,2025,26375.912708105887,100.0,100.0,29551.883393316413,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2025/20260618_030934_BIKPEvaluation_BMAB-full,16,16,0,0.0,16.0,90,10,74,0.8222222222222222
full,bi_kp,100,2026,36003.19584744661,100.0,100.0,40003.550941607355,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2026/20260617_061618_BIKPEvaluation_BMAB-full,15,15,0,0.0,15.0,91,9,76,0.8351648351648352
full,bi_kp,100,2027,33764.92344563623,100.0,100.0,37517.056269632165,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2027/20260617_064335_BIKPEvaluation_BMAB-full,12,12,0,0.0,12.0,91,9,79,0.8681318681318682
full,bi_kp,100,2028,33054.50227867011,100.0,100.0,36727.224754077884,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2028/20260617_070929_BIKPEvaluation_BMAB-full,12,12,0,0.0,12.0,91,9,79,0.8681318681318682
full,bi_kp,100,2029,15753.49169249577,100.0,100.0,34841.445736601054,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2029/20260617_073358_BIKPEvaluation_BMAB-full,14,14,0,0.0,14.000000000000002,91,9,77,0.8461538461538461
full,bi_kp,200,2025,16042.749254853217,200.0,200.0,16931.661482694693,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2025/20260617_075907_BIKPEvaluation_BMAB-full,17,17,0,0.0,8.5,183,17,166,0.907103825136612
full,bi_kp,200,2026,18023.10944601504,200.0,200.0,23789.178926416105,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2026/20260617_085411_BIKPEvaluation_BMAB-full,23,23,0,0.0,11.5,183,17,160,0.8743169398907104
full,bi_kp,200,2027,31455.638299498092,200.0,200.0,37673.70547047862,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2027/20260617_094239_BIKPEvaluation_BMAB-full,16,16,0,0.0,8.0,183,17,167,0.912568306010929
full,bi_kp,200,2028,18668.551453004176,200.0,200.0,32820.136617507604,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2028/20260617_102739_BIKPEvaluation_BMAB-full,27,27,0,0.0,13.5,184,16,157,0.8532608695652174
full,bi_kp,200,2029,36755.36699575912,200.0,200.0,39662.5756558806,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2029/20260617_111527_BIKPEvaluation_BMAB-full,25,25,0,0.0,12.5,184,16,159,0.8641304347826086
full,bi_kp,25,2025,1195.390074893465,25.0,25.0,13437.249410821145,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2025/20260617_034920_BIKPEvaluation_BMAB-full,6,6,0,0.0,24.0,22,3,16,0.7272727272727273
full,bi_kp,25,2026,31051.104865835445,25.0,25.0,36965.60103075648,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2026/20260617_035544_BIKPEvaluation_BMAB-full,5,5,0,0.0,20.0,21,4,16,0.7619047619047619
full,bi_kp,25,2027,24689.802685460574,25.0,25.0,28056.593960750648,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2027/20260617_040402_BIKPEvaluation_BMAB-full,5,5,0,0.0,20.0,21,4,16,0.7619047619047619
full,bi_kp,25,2028,26495.61225925405,25.0,25.0,28799.57854266745,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2028/20260617_041150_BIKPEvaluation_BMAB-full,4,4,0,0.0,16.0,21,4,17,0.8095238095238095
full,bi_kp,25,2029,33090.31622221644,25.0,25.0,36767.01802468493,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2029/20260617_041742_BIKPEvaluation_BMAB-full,4,4,0,0.0,16.0,21,4,17,0.8095238095238095
full,bi_kp,50,2025,30250.70023540865,50.0,50.0,36520.044364833804,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2025/20260617_042624_BIKPEvaluation_BMAB-full,9,9,0,0.0,18.0,45,5,36,0.8
full,bi_kp,50,2026,34539.384433736785,50.0,50.0,37139.1230470288,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2026/20260617_044829_BIKPEvaluation_BMAB-full,6,6,0,0.0,12.0,44,6,38,0.8636363636363636
full,bi_kp,50,2027,25906.364408497604,50.0,50.0,31983.165936416797,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2027/20260617_050225_BIKPEvaluation_BMAB-full,7,7,0,0.0,14.000000000000002,45,5,38,0.8444444444444444
full,bi_kp,50,2028,28490.691990880394,50.0,50.0,33470.948829332636,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2028/20260617_052311_BIKPEvaluation_BMAB-full,9,9,0,0.0,18.0,44,6,35,0.7954545454545454
full,bi_kp,50,2029,33788.26416035615,50.0,50.0,37542.51573372906,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2029/20260617_053948_BIKPEvaluation_BMAB-full,6,6,0,0.0,12.0,44,6,38,0.8636363636363636
full,bi_tsp,100,2025,13918.09759149614,100.0,100.0,14968.25389571526,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2025/20260616_021519_BITSPEvaluation_BMAB-full,16,16,0,0.0,16.0,90,10,74,0.8222222222222222
full,bi_tsp,100,2026,14117.248139808182,100.0,100.0,14946.857918219399,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2026/20260616_023059_BITSPEvaluation_BMAB-full,21,21,0,0.0,21.0,90,10,69,0.7666666666666667
full,bi_tsp,100,2027,14252.99935548939,100.0,100.0,15014.01187066634,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2027/20260616_024416_BITSPEvaluation_BMAB-full,21,21,0,0.0,21.0,90,10,69,0.7666666666666667
full,bi_tsp,100,2028,13864.553711480794,100.0,100.0,15137.157173000645,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2028/20260616_025705_BITSPEvaluation_BMAB-full,36,36,0,0.0,36.0,90,10,54,0.6
full,bi_tsp,100,2029,13997.771114406823,100.0,100.0,15051.7927770676,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2029/20260616_030905_BITSPEvaluation_BMAB-full,19,19,0,0.0,19.0,90,10,71,0.7888888888888889
full,bi_tsp,200,2025,14380.437637309426,200.0,200.0,15101.350558915781,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2025/20260616_032415_BITSPEvaluation_BMAB-full,28,28,0,0.0,14.000000000000002,183,17,155,0.8469945355191257
full,bi_tsp,200,2026,14592.658812191205,200.0,200.0,15377.813820348845,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2026/20260616_034943_BITSPEvaluation_BMAB-full,38,38,0,0.0,19.0,183,17,145,0.7923497267759563
full,bi_tsp,200,2027,13989.500831149868,200.0,200.0,15183.61359870662,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2027/20260616_042432_BITSPEvaluation_BMAB-full,39,39,0,0.0,19.5,183,17,144,0.7868852459016393
full,bi_tsp,200,2028,14113.315819659387,200.0,200.0,15143.162618048673,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2028/20260616_045306_BITSPEvaluation_BMAB-full,40,40,0,0.0,20.0,183,17,143,0.7814207650273224
full,bi_tsp,200,2029,14583.396091965678,200.0,200.0,15186.557480906975,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2029/20260616_051431_BITSPEvaluation_BMAB-full,103,103,0,0.0,51.5,183,17,80,0.4371584699453552
full,bi_tsp,25,2025,13024.238918151717,25.0,25.0,14536.88709305557,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2025/20260616_012909_BITSPEvaluation_BMAB-full,7,7,0,0.0,28.000000000000004,21,4,14,0.6666666666666666
full,bi_tsp,25,2026,13123.326645104798,25.0,25.0,15263.779217934301,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2026/20260616_013156_BITSPEvaluation_BMAB-full,6,6,0,0.0,24.0,21,4,15,0.7142857142857143
full,bi_tsp,25,2027,11833.354468949772,25.0,25.0,14273.1958389995,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2027/20260616_013551_BITSPEvaluation_BMAB-full,9,9,0,0.0,36.0,21,4,12,0.5714285714285714
full,bi_tsp,25,2028,12385.274436273967,25.0,25.0,14413.461889953944,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2028/20260616_013828_BITSPEvaluation_BMAB-full,6,6,0,0.0,24.0,21,4,15,0.7142857142857143
full,bi_tsp,25,2029,11775.518020234107,25.0,25.0,15100.280207372994,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2029/20260616_014106_BITSPEvaluation_BMAB-full,5,5,0,0.0,20.0,22,3,17,0.7727272727272727
