method,task,budget,metric,value,rank,normalized_score,is_best,is_top2
full,bi_tsp,25,aubc,12428.342497742873,1.0,100.0,True,True
mpage_orig,bi_tsp,25,aubc,9841.931473058481,4.0,79.18941302789078,False,False
dense_reward,bi_tsp,25,aubc,12109.761833035232,3.0,97.43666007944746,False,False
hybrid_reward,bi_tsp,25,aubc,12145.103411993574,2.0,97.72102284917929,False,True
full,bi_tsp,25,hv_final,14717.520849463262,3.0,99.66340537220255,False,False
mpage_orig,bi_tsp,25,hv_final,14750.830234950628,2.0,99.88896827933085,False,True
dense_reward,bi_tsp,25,hv_final,14767.22654067385,1.0,100.0,True,True
hybrid_reward,bi_tsp,25,hv_final,14484.786833780225,4.0,98.08738827080568,False,False
full,bi_tsp,50,aubc,12931.550050176418,2.0,97.88256969896345,False,True
mpage_orig,bi_tsp,50,aubc,11807.552832209507,4.0,89.3747159921616,False,False
dense_reward,bi_tsp,50,aubc,13211.289905799602,1.0,100.0,True,True
hybrid_reward,bi_tsp,50,aubc,12851.285647413717,3.0,97.27502567158226,False,False
full,bi_tsp,50,hv_final,14810.352873583684,3.0,99.32207691795477,False,False
mpage_orig,bi_tsp,50,hv_final,14911.440973810697,1.0,100.0,True,True
dense_reward,bi_tsp,50,hv_final,14629.559143982699,4.0,98.10962716263926,False,False
hybrid_reward,bi_tsp,50,hv_final,14821.508588744384,2.0,99.39689004419986,False,True
full,bi_tsp,100,aubc,14030.133982536267,1.0,100.0,True,True
mpage_orig,bi_tsp,100,aubc,12956.306839842173,4.0,92.34628019924315,False,False
dense_reward,bi_tsp,100,aubc,13525.34690483358,3.0,96.40212218692272,False,False
hybrid_reward,bi_tsp,100,aubc,13795.438023539858,2.0,98.32720087143471,False,True
full,bi_tsp,100,hv_final,15023.614726933849,2.0,99.51642074676143,False,True
mpage_orig,bi_tsp,100,hv_final,15096.618843602013,1.0,100.0,True,True
dense_reward,bi_tsp,100,hv_final,14840.163060031644,4.0,98.30123694433038,False,False
hybrid_reward,bi_tsp,100,hv_final,14956.32716724005,3.0,99.07070796570174,False,False
full,bi_tsp,200,aubc,14331.861838455112,1.0,100.0,True,True
mpage_orig,bi_tsp,200,aubc,13462.571498930798,4.0,93.93456098500864,False,False
dense_reward,bi_tsp,200,aubc,14258.78433313733,2.0,99.49010459254009,False,True
hybrid_reward,bi_tsp,200,aubc,14203.974061159182,3.0,99.10766808431838,False,False
full,bi_tsp,200,hv_final,15198.499615385379,2.0,99.8103481184422,False,True
mpage_orig,bi_tsp,200,hv_final,15016.311139088282,4.0,98.61389480380225,False,False
dense_reward,bi_tsp,200,hv_final,15227.378625460495,1.0,100.0,True,True
hybrid_reward,bi_tsp,200,hv_final,15053.399989949805,3.0,98.85746168273643,False,False
full,tri_tsp,25,aubc,144450.15885480464,3.0,91.76221125772209,False,False
mpage_orig,tri_tsp,25,aubc,87564.65369176242,4.0,55.6255964996851,False,False
dense_reward,tri_tsp,25,aubc,149256.6018351161,2.0,94.81551240778079,False,True
hybrid_reward,tri_tsp,25,aubc,157417.9140573497,1.0,100.0,True,True
full,tri_tsp,25,hv_final,206791.18680863173,2.0,99.83868395680844,False,True
mpage_orig,tri_tsp,25,hv_final,206676.62668638738,3.0,99.78337438576085,False,False
dense_reward,tri_tsp,25,hv_final,206109.421852447,4.0,99.50952816906036,False,False
hybrid_reward,tri_tsp,25,hv_final,207125.31316828294,1.0,100.0,True,True
full,tri_tsp,50,aubc,160956.9230416061,3.0,96.48640675857396,False,False
mpage_orig,tri_tsp,50,aubc,137434.62173016855,4.0,82.38584935883769,False,False
dense_reward,tri_tsp,50,aubc,166818.2373547693,1.0,100.0,True,True
hybrid_reward,tri_tsp,50,aubc,163796.40691106714,2.0,98.18854911092502,False,True
full,tri_tsp,50,hv_final,207540.11827129213,1.0,100.0,True,True
mpage_orig,tri_tsp,50,hv_final,206978.34105713342,4.0,99.72931632744645,False,False
dense_reward,tri_tsp,50,hv_final,207046.9624759687,3.0,99.76238049807856,False,False
hybrid_reward,tri_tsp,50,hv_final,207355.06354443636,2.0,99.91083423850907,False,True
full,tri_tsp,100,aubc,179784.92002361311,1.0,100.0,True,True
mpage_orig,tri_tsp,100,aubc,152646.74125501543,4.0,84.9051974075282,False,False
dense_reward,tri_tsp,100,aubc,179730.38356499805,2.0,99.96966572134754,False,True
hybrid_reward,tri_tsp,100,aubc,178121.47594126879,3.0,99.07475883843547,False,False
full,tri_tsp,100,hv_final,207927.80985654087,1.0,100.0,True,True
mpage_orig,tri_tsp,100,hv_final,207362.14294651497,2.0,99.72795033506283,False,True
dense_reward,tri_tsp,100,hv_final,207295.76719874257,3.0,99.69602783858764,False,False
hybrid_reward,tri_tsp,100,hv_final,207129.03714779127,4.0,99.61584133007474,False,False
full,tri_tsp,200,aubc,188432.1466497327,2.0,99.52930139828793,False,True
mpage_orig,tri_tsp,200,aubc,165126.1997109829,4.0,87.21916929778615,False,False
dense_reward,tri_tsp,200,aubc,187223.55146867744,3.0,98.89092500560494,False,False
hybrid_reward,tri_tsp,200,aubc,189323.28872246464,1.0,100.0,True,True
full,tri_tsp,200,hv_final,207635.00967666012,1.0,100.0,True,True
mpage_orig,tri_tsp,200,hv_final,207182.2764044278,3.0,99.78195715985598,False,False
dense_reward,tri_tsp,200,hv_final,207455.07073145115,2.0,99.91333882205646,False,True
hybrid_reward,tri_tsp,200,hv_final,207180.51067633205,4.0,99.78110675986875,False,False
full,bi_cvrp,25,aubc,13399.392458098759,1.0,100.0,True,True
mpage_orig,bi_cvrp,25,aubc,7322.699791038945,4.0,54.64949111639024,False,False
dense_reward,bi_cvrp,25,aubc,11821.465305373807,2.0,88.22389031697305,False,True
hybrid_reward,bi_cvrp,25,aubc,11064.22175215596,3.0,82.5725627990589,False,False
full,bi_cvrp,25,hv_final,18864.473998623725,1.0,100.0,True,True
mpage_orig,bi_cvrp,25,hv_final,14386.82140386351,4.0,76.26410047220567,False,False
dense_reward,bi_cvrp,25,hv_final,16223.939464623472,3.0,86.00260715356868,False,False
hybrid_reward,bi_cvrp,25,hv_final,16242.729783579867,2.0,86.10221405995667,False,True
full,bi_cvrp,50,aubc,13893.797438292268,1.0,100.0,True,True
mpage_orig,bi_cvrp,50,aubc,7486.240679123576,4.0,53.881890191453195,False,False
dense_reward,bi_cvrp,50,aubc,13735.830303371817,2.0,98.86303844847284,False,True
hybrid_reward,bi_cvrp,50,aubc,13441.505205409294,3.0,96.74464641584291,False,False
full,bi_cvrp,50,hv_final,17669.63358871531,2.0,97.48188927273836,False,True
mpage_orig,bi_cvrp,50,hv_final,16246.93183163395,4.0,89.63296278223613,False,False
dense_reward,bi_cvrp,50,hv_final,18126.06805278319,1.0,100.0,True,True
hybrid_reward,bi_cvrp,50,hv_final,16915.914943364813,3.0,93.32368660486982,False,False
full,bi_cvrp,100,aubc,14713.253548041008,3.0,92.12691705582635,False,False
mpage_orig,bi_cvrp,100,aubc,12211.73810911956,4.0,76.46369854314943,False,False
dense_reward,bi_cvrp,100,aubc,14994.71196511799,2.0,93.88926663812983,False,True
hybrid_reward,bi_cvrp,100,aubc,15970.634878756646,1.0,100.0,True,True
full,bi_cvrp,100,hv_final,18874.829633509045,1.0,100.0,True,True
mpage_orig,bi_cvrp,100,hv_final,18153.26695885686,3.0,96.17711688707816,False,False
dense_reward,bi_cvrp,100,hv_final,17098.674431075993,4.0,90.58982127563266,False,False
hybrid_reward,bi_cvrp,100,hv_final,18704.266968517954,2.0,99.0963485853759,False,True
full,bi_cvrp,200,aubc,15707.164092901405,3.0,93.37431503256512,False,False
mpage_orig,bi_cvrp,200,aubc,13339.38620542249,4.0,79.29859537464702,False,False
dense_reward,bi_cvrp,200,aubc,16821.71814317823,1.0,100.0,True,True
hybrid_reward,bi_cvrp,200,aubc,16785.891789655154,2.0,99.78702322070706,False,True
full,bi_cvrp,200,hv_final,19571.232765715155,2.0,99.29570103431656,False,True
mpage_orig,bi_cvrp,200,hv_final,17210.426910671405,4.0,87.31802567841662,False,False
dense_reward,bi_cvrp,200,hv_final,19710.050447150115,1.0,100.0,True,True
hybrid_reward,bi_cvrp,200,hv_final,18525.467753954224,3.0,93.98995605631659,False,False
full,bi_kp,25,aubc,23304.445221531994,1.0,100.0,True,True
mpage_orig,bi_kp,25,aubc,16217.363708114684,4.0,69.58914298947033,False,False
dense_reward,bi_kp,25,aubc,21282.173094177462,2.0,91.32237601826253,False,True
hybrid_reward,bi_kp,25,aubc,20438.423987685805,3.0,87.70182595379637,False,False
full,bi_kp,25,hv_final,28805.20819393613,2.0,88.84661595930264,False,True
mpage_orig,bi_kp,25,hv_final,24123.138004274635,4.0,74.40526600499386,False,False
dense_reward,bi_kp,25,hv_final,25691.868129885424,3.0,79.24384804458735,False,False
hybrid_reward,bi_kp,25,hv_final,32421.27782011499,1.0,100.0,True,True
full,bi_kp,50,aubc,30595.081045775918,1.0,100.0,True,True
mpage_orig,bi_kp,50,aubc,21096.101819160813,4.0,68.95259335184349,False,False
dense_reward,bi_kp,50,aubc,21848.830997764715,3.0,71.4128881210506,False,False
hybrid_reward,bi_kp,50,aubc,29929.44005847047,2.0,97.82435292029615,False,True
full,bi_kp,50,hv_final,35331.15958226822,1.0,100.0,True,True
mpage_orig,bi_kp,50,hv_final,29638.702837502242,4.0,83.88828215074244,False,False
dense_reward,bi_kp,50,hv_final,31289.757903042337,3.0,88.56136700009655,False,False
hybrid_reward,bi_kp,50,hv_final,33636.20308588799,2.0,95.20265817363412,False,True
full,bi_kp,100,aubc,28990.40519447092,2.0,96.22255336383478,False,True
mpage_orig,bi_kp,100,aubc,23046.10236914911,4.0,76.49271544044454,False,False
dense_reward,bi_kp,100,aubc,30128.492937464445,1.0,100.0,True,True
hybrid_reward,bi_kp,100,aubc,25640.466835700976,3.0,85.10371524032435,False,False
full,bi_kp,100,hv_final,35728.23221904697,3.0,96.99638439219711,False,False
mpage_orig,bi_kp,100,hv_final,27239.85876808512,4.0,73.95182038840944,False,False
dense_reward,bi_kp,100,hv_final,36834.60207607608,1.0,100.0,True,True
hybrid_reward,bi_kp,100,hv_final,36362.97761921861,2.0,98.71961571382418,False,True
full,bi_kp,200,aubc,24189.08308982593,4.0,71.82916628941308,False,False
mpage_orig,bi_kp,200,aubc,25270.78269230578,3.0,75.04125913035244,False,False
dense_reward,bi_kp,200,aubc,32395.173397402956,2.0,96.19704427387508,False,True
hybrid_reward,bi_kp,200,aubc,33675.85110533458,1.0,100.0,True,True
full,bi_kp,200,hv_final,30175.451630595526,3.0,80.87081568683038,False,False
mpage_orig,bi_kp,200,hv_final,29974.808299924745,4.0,80.33308753574559,False,False
dense_reward,bi_kp,200,hv_final,36641.44414332875,2.0,98.19980532818124,False,True
hybrid_reward,bi_kp,200,hv_final,37313.153545339504,1.0,100.0,True,True
